rank,region,population
1,California,39144818
2,Texas,27469114
3,Florida,20271272
4,New York,19795791
5,Illinois,12859995
6,Pennsylvania,12802503
7,Ohio,11613423
8,Georgia,10214860
9,North Carolina,10042802
10,Michigan,9922576
11,New Jersey,8958013
12,Virginia,8382993
13,Washington,7170351
14,Arizona,6828065
15,Massachusetts,6794422
16,Indiana,6619680
17,Tennessee,6600299
18,Missouri,6083672
19,Maryland,6006401
20,Wisconsin,5771337
21,Minnesota,5489594
22,Colorado,5456574
23,South Carolina,4896146
24,Alabama,4858979
25,Louisiana,4670724
26,Kentucky,4425092
27,Oregon,4028977
28,Oklahoma,3911338
29,Connecticut,3590886
31,Iowa,3123899
32,Utah,2995919
33,Mississippi,2992333
34,Arkansas,2978204
35,Kansas,2911641
36,Nevada,2890845
37,New Mexico,2085109
38,Nebraska,1896190
39,West Virginia,1844128
40,Idaho,1654930
41,Hawaii,1431603
42,New Hampshire,1330608
43,Maine,1329328
44,Rhode Island,1056298
45,Montana,1032949
46,Delaware,945934
47,South Dakota,858469
48,North Dakota,756927
49,Alaska,738432
50,District of Columbia,672228
51,Vermont,626042
52,Wyoming,586107
