"site","lat","long","year","week","mo","yday","PG_count","v","temp","mins"
"Cliffside",48.368,-122.6697,2017,32,8,220,15,-0.63,0.48,-1.25
"Cliffside",48.368,-122.6697,2017,33,8,228,15,-1.24,0.9,1.06
"Cliffside",48.368,-122.6697,2016,34,8,235,16,-1.12,0.93,-0.48
"Cliffside",48.368,-122.6697,2014,27,7,188,14,-1.66,0.35,1.27
"Cliffside",48.368,-122.6697,2010,27,7,184,23,-2.21,-0.73,-0.16
"Cliffside",48.368,-122.6697,2008,31,8,217,23,-0.94,-1.23,-0.8
"Cliffside",48.368,-122.6697,2008,30,7,210,6,-0.63,-0.34,1.53
"Cliffside",48.368,-122.6697,2014,30,7,209,12,-0.82,-0.12,-1.14
"Cliffside",48.368,-122.6697,2016,28,7,193,23,-2.21,0.17,0.04
"Cliffside",48.368,-122.6697,2012,26,6,177,23,-1.78,-2.51,-0.44
"Cliffside",48.368,-122.6697,2018,24,6,168,20,-0.51,-0.9,-0.83
"Cliffside",48.368,-122.6697,2018,32,8,220,25,-0.63,2.16,1.56
"Cliffside",48.368,-122.6697,2009,32,8,223,48,-1.72,0.04,-0.32
"Cliffside",48.368,-122.6697,2015,32,8,222,14,-0.76,1.94,1.42
"Cliffside",48.368,-122.6697,2015,30,7,209,12,-0.76,1.68,1.63
"Cliffside",48.368,-122.6697,2013,27,7,183,14,-1.48,-0.2,1.22
"Cliffside",48.368,-122.6697,2016,26,6,179,27,-2.02,-0.2,0
"Cliffside",48.368,-122.6697,2014,29,7,202,16,-1.24,0.47,1.24
"Cliffside",48.368,-122.6697,2015,31,8,216,28,-1.12,1.21,-0.53
"Cliffside",48.368,-122.6697,2008,29,7,203,51,-1,-0.47,-0.96
"Cliffside",48.368,-122.6697,2017,29,7,199,19,-1.66,1.36,1.06
"Cliffside",48.368,-122.6697,2013,29,7,203,7,0.09,0.59,-1.52
"Cliffside",48.368,-122.6697,2016,33,8,228,2,-0.76,1.49,1.63
"Cliffside",48.368,-122.6697,2017,27,7,185,22,-1.3,0.84,1.45
"Cliffside",48.368,-122.6697,2011,31,8,215,33,-1.12,-1.33,-0.61
"Cliffside",48.368,-122.6697,2018,28,7,190,5,-1.18,0.87,1.45
"Cliffside",48.368,-122.6697,2013,26,6,176,15,-0.15,-1.81,-1.1
"Cliffside",48.368,-122.6697,2009,31,8,217,18,-0.57,0.28,-1.5
"Cliffside",48.368,-122.6697,2011,29,7,199,15,-1.06,-1.69,-0.89
"Cliffside",48.368,-122.6697,2012,35,8,240,0,-0.63,0.28,1.32
"Cliffside",48.368,-122.6697,2013,30,7,210,21,-1.84,0.47,0.51
"Cliffside",48.368,-122.6697,2008,25,6,175,47,-1.18,-2.42,-1
"Cliffside",48.368,-122.6697,2011,33,8,227,22,-0.94,-1.06,-1.04
"Cliffside",48.368,-122.6697,2009,28,7,194,41,-1.96,-0.94,-0.4
"Cliffside",48.368,-122.6697,2018,27,7,183,16,-1.12,-0.5,-0.96
"Cliffside",48.368,-122.6697,2010,29,7,202,1,-0.76,0.04,1.48
"Cliffside",48.368,-122.6697,2011,28,7,193,23,-0.45,-0.52,1.67
"Cliffside",48.368,-122.6697,2017,35,8,241,3,-1.54,1.64,0.79
"Cliffside",48.368,-122.6697,2016,30,7,207,21,-1.6,0.27,-0.28
"Cliffside",48.368,-122.6697,2017,30,7,206,22,-0.33,0.59,-1.04
"Cliffside",48.368,-122.6697,2015,25,6,173,16,-1.78,0.08,-0.48
"Cliffside",48.368,-122.6697,2010,26,6,179,10,-0.57,-1.49,-1.22
"Cliffside",48.368,-122.6697,2013,28,7,193.5,12,-1.45,-0.18,-0.54
"Cliffside",48.368,-122.6697,2014,33,8,230,4,-1.3,0,0.9
"Cliffside",48.368,-122.6697,2008,28,7,193,18,-1.72,-0.58,1.1
"Cliffside",48.368,-122.6697,2017,34,8,234,3,-0.39,0.51,-1.21
"Cliffside",48.368,-122.6697,2016,32,8,221,18,-1.78,0.47,-0.31
"Cliffside",48.368,-122.6697,2016,24,6,165,26,-2.27,-0.19,0.74
"Cliffside",48.368,-122.6697,2011,27,7,187,18,-1.6,-1.74,-0.42
"Cliffside",48.368,-122.6697,2012,32,8,219,29,-1.48,-0.97,-0.51
"Cliffside",48.368,-122.6697,2010,28,7,194,2,-0.21,-0.19,-1.18
"Cliffside",48.368,-122.6697,2012,33,8,227,6,-0.7,0.87,1.63
"Cliffside",48.368,-122.6697,2016,23,6,159,22,-0.27,-0.59,-1.05
"Cliffside",48.368,-122.6697,2018,30,7,210,26,-0.76,0.74,-1.17
"Cliffside",48.368,-122.6697,2014,31,8,216,5,-1.84,1.15,0.93
"Cliffside",48.368,-122.6697,2018,33,8,228,27,-1.48,0.3,-0.21
"Cliffside",48.368,-122.6697,2012,28,7,191,29,-1.9,-1.58,-0.23
"Cliffside",48.368,-122.6697,2015,27,7,187,33,-1.18,0.2,-0.6
"Cliffside",48.368,-122.6697,2009,33,8,229,0,-0.39,0.39,1.57
"Cliffside",48.368,-122.6697,2018,23,6,161,13,-1.42,-0.72,1.4
"Cliffside",48.368,-122.6697,2011,32,8,223,12,-0.39,-0.99,1.69
"Cliffside",48.368,-122.6697,2013,33,8,231,11,-0.39,0.02,1.62
"Cliffside",48.368,-122.6697,2014,28,7,195,15,-0.27,-0.03,-1.05
"Cliffside",48.368,-122.6697,2014,25,6,174,13,-1,-0.63,1.49
"Cliffside",48.368,-122.6697,2014,32,8,223,13,-0.15,1.26,-1.23
"Cliffside",48.368,-122.6697,2017,26,6,178,37,-0.57,-0.09,-0.84
"Cliffside",48.368,-122.6697,2017,28,7,192,20,-0.76,0.28,-1.12
"Cliffside",48.368,-122.6697,2008,27,7,189,41,-1.24,-2.13,-0.62
"Cliffside",48.368,-122.6697,2014,26,6,181,6,-1,-1.45,-1
"Cliffside",48.368,-122.6697,2016,25,6,172,22,-0.45,-0.66,-1.42
"Cliffside",48.368,-122.6697,2015,29,7,201,27,-1.42,1.13,-0.7
"Cliffside",48.368,-122.6697,2012,34,8,234,11,-1.18,-0.91,-0.53
"Cliffside",48.368,-122.6697,2018,29,7,197,13,-0.63,-0.21,-0.8
"Cliffside",48.368,-122.6697,2015,33,8,229,6,-1.12,1.28,-0.86
"Cliffside",48.368,-122.6697,2017,25,6,171,9,-1.42,-1,1.29
"Cliffside",48.368,-122.6697,2009,26,6,179,35,-1.78,-1.58,-0.19
"Cliffside",48.368,-122.6697,2017,24,6,164,14.5,-1,-1.22,-1.04
"Cliffside",48.368,-122.6697,2012,30,7,205,21,-1.36,-1.04,-0.61
"Cliffside",48.368,-122.6697,2013,34,8,238,14,-1.48,-0.51,0.02
"Cliffside",48.368,-122.6697,2013,32,8,222.5,27.5,-1.36,0.13,-0.58
"Cliffside",48.368,-122.6697,2017,31,8,213,22,-1.48,2.06,1.17
"Cliffside",48.368,-122.6697,2016,27,7,186,11,0.09,0.16,-1.45
"Cliffside",48.368,-122.6697,2014,24,6,167,39,-0.63,-1.35,-0.87
"Cliffside",48.368,-122.6697,2014,34,8,238,0,-0.94,0.67,-1.11
"Crescent Harbor",48.2974,-122.5876,2008,27,7,187,11,1.84,-1.83,-0.69
"Crescent Harbor",48.2974,-122.5876,2008,26,6,180,14,0.69,-1.87,1.17
"Crescent Harbor",48.2974,-122.5876,2008,29,7,201,8,1.3,-0.63,-0.88
"Crescent Harbor",48.2974,-122.5876,2009,28,7,195,18,0.09,-0.7,0.26
"Crescent Harbor",48.2974,-122.5876,2009,29,7,201,10,2.27,-0.03,-1.51
"Crescent Harbor",48.2974,-122.5876,2011,26,6,180,15,1.66,-1.59,-1.4
"Crescent Harbor",48.2974,-122.5876,2009,31,8,215,7,1.18,1.13,-1.39
"Crescent Harbor",48.2974,-122.5876,2009,32,8,222,6,0.94,-0.22,-0.25
"Crescent Harbor",48.2974,-122.5876,2009,33,8,229,9,2.08,0.39,1.65
"Crescent Harbor",48.2974,-122.5876,2009,27,7,187,5,1.42,-0.51,-1.21
"Crescent Harbor",48.2974,-122.5876,2011,27,7,186,12,1.12,-1.6,-0.32
